F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F20,Label
20.0,1024.0,256.0,2048.0,20.0,240.0,0.0,240.0,240.0,8.0,4983015.0,2199.0,2220.0,21.0,29.0,387.0,2.0,-12.0,789.0,3.0
30.0,768.0,256.0,2048.0,30.0,240.0,0.0,240.0,240.0,8.0,4982907.0,166.0,180.0,14.0,29.0,390.0,2.0,128.0,782.0,3.0
29.0,768.0,256.0,2048.0,29.0,240.0,0.0,240.0,240.0,8.0,4982540.0,1441.0,1458.0,17.0,30.0,392.0,2.0,128.0,785.0,3.0
23.0,768.0,256.0,2048.0,23.0,240.0,0.0,240.0,240.0,8.0,4982963.0,332.0,344.0,12.0,3397.0,381.0,2.0,128.0,780.0,3.0
16.0,768.0,256.0,2048.0,16.0,240.0,0.0,240.0,240.0,7.0,4982929.0,385.0,399.0,14.0,29.0,376.0,2.0,128.0,782.0,3.0
6.0,,256.0,2048.0,6.0,240.0,0.0,240.0,240.0,5.0,4982235.0,3895.0,3915.0,20.0,29.0,372.0,2.0,128.0,788.0,3.0
24.0,768.0,256.0,2048.0,24.0,240.0,0.0,240.0,240.0,7.0,4983015.0,2125.0,2144.0,19.0,29.0,389.0,2.0,128.0,787.0,3.0
30.0,768.0,256.0,2048.0,30.0,240.0,0.0,240.0,240.0,8.0,4982942.0,62.0,76.0,14.0,3400.0,390.0,2.0,128.0,782.0,3.0
10.0,512.0,256.0,2048.0,10.0,240.0,0.0,240.0,240.0,8.0,4982547.0,409.0,416.0,7.0,3401.0,363.0,1.0,128.0,775.0,3.0
4.0,768.0,256.0,2048.0,4.0,240.0,0.0,240.0,240.0,7.0,4982550.0,237.0,254.0,17.0,1105.0,367.0,2.0,128.0,785.0,3.0
6.0,,256.0,2048.0,6.0,240.0,0.0,240.0,240.0,7.0,4982449.0,250.0,270.0,20.0,3397.0,372.0,2.0,128.0,788.0,3.0
11.0,65535.0,256.0,2048.0,11.0,240.0,0.0,240.0,240.0,8.0,4982928.0,0.0,0.0,0.0,3401.0,256.0,1.0,256.0,768.0,3.0
30.0,768.0,256.0,2048.0,30.0,240.0,0.0,240.0,240.0,8.0,4982943.0,370.0,384.0,14.0,3408.0,390.0,2.0,128.0,782.0,3.0
15.0,1024.0,256.0,2048.0,15.0,240.0,0.0,240.0,240.0,8.0,4982950.0,51.0,73.0,22.0,29.0,383.0,2.0,-12.0,790.0,3.0
7.0,257.0,256.0,2048.0,7.0,240.0,0.0,240.0,240.0,8.0,4982538.0,201.0,0.0,21.0,3401.0,374.0,2.0,-12.0,789.0,1.0
21.0,768.0,256.0,2048.0,21.0,240.0,0.0,240.0,240.0,7.0,4983026.0,97.0,110.0,13.0,29.0,380.0,2.0,128.0,781.0,3.0
10.0,768.0,256.0,2048.0,10.0,240.0,0.0,240.0,240.0,5.0,4982397.0,287.0,299.0,12.0,1105.0,368.0,2.0,128.0,780.0,3.0
30.0,65535.0,256.0,2048.0,30.0,240.0,0.0,240.0,240.0,5.0,4982127.0,0.0,0.0,0.0,3397.0,256.0,1.0,256.0,768.0,3.0
27.0,257.0,256.0,2048.0,27.0,240.0,0.0,240.0,240.0,8.0,4982499.0,226.0,0.0,18.0,29.0,391.0,2.0,128.0,786.0,1.0
27.0,257.0,256.0,2048.0,27.0,240.0,0.0,240.0,240.0,8.0,4983005.0,355.0,0.0,7.0,29.0,380.0,1.0,128.0,775.0,1.0
15.0,768.0,256.0,2048.0,15.0,240.0,0.0,240.0,240.0,5.0,4982140.0,50.0,62.0,12.0,3400.0,373.0,2.0,128.0,780.0,3.0
26.0,768.0,256.0,2048.0,26.0,240.0,0.0,240.0,240.0,8.0,4983025.0,2307.0,2320.0,13.0,29.0,385.0,2.0,128.0,781.0,3.0
25.0,65535.0,256.0,2048.0,25.0,240.0,0.0,240.0,240.0,8.0,4982549.0,0.0,0.0,0.0,3400.0,256.0,1.0,256.0,768.0,3.0
8.0,768.0,256.0,2048.0,8.0,240.0,0.0,240.0,240.0,8.0,4983033.0,7796.0,7809.0,13.0,304.0,367.0,2.0,128.0,781.0,3.0
21.0,768.0,256.0,2048.0,21.0,240.0,0.0,240.0,240.0,7.0,4982971.0,41.0,54.0,13.0,29.0,380.0,2.0,128.0,781.0,3.0
