Dataset,Phase,Fold,SVM_Accuracy,SVM_Accuracy_Std,SVM_F1,SVM_F1_Std,SVM_Params,kNN_Accuracy,kNN_Accuracy_Std,kNN_F1,kNN_F1_Std,kNN_Params,Decision Tree_Accuracy,Decision Tree_Accuracy_Std,Decision Tree_F1,Decision Tree_F1_Std,Decision Tree_Params,Random Forest_Accuracy,Random Forest_Accuracy_Std,Random Forest_F1,Random Forest_F1_Std,Random Forest_Params,MLP_Accuracy,MLP_Accuracy_Std,MLP_F1,MLP_F1_Std,MLP_Params
Dataset2,Phase2_ReliefF,Fold 7,0.859081,0.008738,0.313409,0.01349,{'classifier__estimator__C': 1},0.954071,0.008639,0.606122,0.047009,"{'classifier__n_neighbors': 5, 'classifier__weights': 'distance'}",0.955115,0.00777,0.600815,0.023204,"{'classifier__max_depth': 20, 'classifier__min_samples_split': 2}",0.953027,0.008087,0.573089,0.032529,"{'classifier__max_depth': None, 'classifier__n_estimators': 200}",0.908142,0.01445,0.402414,0.023509,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (128,)}"
Dataset2,Phase2_ReliefF,Fold 8,0.85595,0.008379,0.292264,0.014961,{'classifier__estimator__C': 1},0.951983,0.008153,0.584492,0.043974,"{'classifier__n_neighbors': 3, 'classifier__weights': 'distance'}",0.961378,0.007505,0.584813,0.022557,"{'classifier__max_depth': 20, 'classifier__min_samples_split': 2}",0.963466,0.00791,0.611135,0.030606,"{'classifier__max_depth': None, 'classifier__n_estimators': 50}",0.944676,0.015646,0.458574,0.024787,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (128,)}"
Dataset2,Phase2_ReliefF,Fold 9,0.866388,0.00809,0.323856,0.014474,{'classifier__estimator__C': 1},0.946764,0.007722,0.584787,0.041461,"{'classifier__n_neighbors': 3, 'classifier__weights': 'distance'}",0.956159,0.007076,0.579742,0.022296,"{'classifier__max_depth': None, 'classifier__min_samples_split': 5}",0.95929,0.007482,0.604701,0.028865,"{'classifier__max_depth': None, 'classifier__n_estimators': 200}",0.914405,0.015045,0.410414,0.024037,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (64,)}"
Dataset2,Phase2_ReliefF,Fold 10,0.864301,0.007723,0.319071,0.013794,{'classifier__estimator__C': 1},0.951983,0.007385,0.507121,0.045543,"{'classifier__n_neighbors': 3, 'classifier__weights': 'distance'}",0.961378,0.006877,0.558609,0.02433,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 2}",0.961378,0.00719,0.56678,0.029423,"{'classifier__max_depth': None, 'classifier__n_estimators': 100}",0.895616,0.016436,0.385448,0.025892,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (64,)}"
Dataset3,Phase1_Baseline,Fold 1,0.850886,0.0,0.316886,0.0,{'classifier__estimator__C': 1},0.885297,0.0,0.592516,0.0,"{'classifier__n_neighbors': 5, 'classifier__weights': 'distance'}",0.876955,0.0,0.5504,0.0,"{'classifier__max_depth': 20, 'classifier__min_samples_split': 2}",0.881126,0.0,0.549503,0.0,"{'classifier__max_depth': None, 'classifier__n_estimators': 100}",0.861314,0.0,0.447166,0.0,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (64,)}"
Dataset3,Phase1_Baseline,Fold 2,0.848801,0.001043,0.299043,0.008922,{'classifier__estimator__C': 1},0.893639,0.004171,0.570264,0.011126,"{'classifier__n_neighbors': 5, 'classifier__weights': 'distance'}",0.882169,0.002607,0.531382,0.009509,"{'classifier__max_depth': 20, 'classifier__min_samples_split': 2}",0.890511,0.004692,0.546118,0.001693,"{'classifier__max_depth': None, 'classifier__n_estimators': 100}",0.852972,0.004171,0.329955,0.058606,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (128,)}"
Dataset3,Phase1_Baseline,Fold 3,0.857143,0.003545,0.322167,0.009894,{'classifier__estimator__C': 10},0.887383,0.003545,0.599689,0.012527,"{'classifier__n_neighbors': 5, 'classifier__weights': 'distance'}",0.895725,0.007911,0.621844,0.038943,"{'classifier__max_depth': 20, 'classifier__min_samples_split': 5}",0.891554,0.004689,0.592992,0.021344,"{'classifier__max_depth': None, 'classifier__n_estimators': 50}",0.880083,0.011338,0.515937,0.076781,"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (64,)}"
Dataset3,Phase1_Baseline,Fold 4,0.850731,0.003142,0.319026,0.008996,{'classifier__estimator__C': 1},0.887265,0.003138,0.589948,0.010901,"{'classifier__n_neighbors': 5, 'classifier__weights': 'distance'}",0.881002,0.007061,0.549167,0.034685,"{'classifier__max_depth': 20, 'classifier__min_samples_split': 10}",0.897704,0.005928,0.585285,0.020877,"{'classifier__max_depth': 10, 'classifier__n_estimators': 50}",0.877871,0.011335,0.488992,0.071074,"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (64,)}"
Dataset3,Phase1_Baseline,Fold 5,0.845511,0.003796,0.302858,0.009253,{'classifier__estimator__C': 1},0.888309,0.002807,0.57879,0.010438,"{'classifier__n_neighbors': 3, 'classifier__weights': 'distance'}",0.88309,0.006325,0.559182,0.031065,"{'classifier__max_depth': 20, 'classifier__min_samples_split': 5}",0.894572,0.00558,0.592119,0.020932,"{'classifier__max_depth': None, 'classifier__n_estimators': 200}",0.891441,0.013793,0.551026,0.076306,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (64,)}"
Dataset3,Phase1_Baseline,Fold 6,0.849687,0.003482,0.29398,0.01079,{'classifier__estimator__C': 1},0.897704,0.004318,0.612475,0.013652,"{'classifier__n_neighbors': 3, 'classifier__weights': 'distance'}",0.901879,0.008877,0.61763,0.035042,"{'classifier__max_depth': 20, 'classifier__min_samples_split': 10}",0.90501,0.00727,0.6266,0.027588,"{'classifier__max_depth': None, 'classifier__n_estimators': 200}",0.882046,0.013061,0.525296,0.07301,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (64,)}"
