F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F20,Label
4.0,768.0,256.0,2048.0,4.0,240.0,0.0,240.0,240.0,8.0,4982475.0,734.0,751.0,17.0,2850.0,367.0,2.0,128.0,785.0,3.0
24.0,768.0,256.0,2048.0,24.0,240.0,0.0,240.0,240.0,8.0,4982986.0,95.0,114.0,19.0,3397.0,389.0,2.0,128.0,787.0,3.0
17.0,257.0,256.0,2048.0,17.0,240.0,0.0,240.0,240.0,8.0,4982933.0,19.0,0.0,19.0,3397.0,382.0,2.0,128.0,787.0,2.0
24.0,768.0,256.0,2048.0,24.0,240.0,0.0,240.0,240.0,5.0,4982108.0,374.0,393.0,19.0,835.0,389.0,2.0,128.0,787.0,3.0
29.0,768.0,256.0,2048.0,29.0,240.0,0.0,240.0,240.0,8.0,4982543.0,83.0,100.0,17.0,3401.0,392.0,2.0,128.0,785.0,3.0
29.0,768.0,256.0,2048.0,29.0,240.0,0.0,240.0,240.0,8.0,4982941.0,141.0,158.0,17.0,3397.0,392.0,2.0,128.0,785.0,3.0
7.0,65535.0,256.0,2048.0,7.0,240.0,0.0,240.0,240.0,8.0,4982928.0,0.0,0.0,0.0,3397.0,256.0,1.0,256.0,768.0,4.0
11.0,65535.0,256.0,2048.0,11.0,240.0,0.0,240.0,240.0,8.0,4982968.0,0.0,0.0,0.0,2850.0,256.0,1.0,256.0,768.0,3.0
2.0,512.0,256.0,2048.0,2.0,240.0,0.0,240.0,240.0,5.0,4982108.0,200.0,207.0,7.0,30.0,355.0,1.0,128.0,775.0,4.0
27.0,257.0,256.0,2048.0,27.0,240.0,0.0,240.0,240.0,5.0,4982428.0,4261.0,0.0,18.0,3397.0,391.0,2.0,128.0,786.0,4.0
4.0,768.0,256.0,2048.0,4.0,240.0,0.0,240.0,240.0,7.0,4982927.0,225.0,242.0,17.0,29.0,367.0,2.0,128.0,785.0,3.0
16.0,768.0,256.0,2048.0,16.0,240.0,0.0,240.0,240.0,8.0,4983029.0,1144.0,1158.0,14.0,30.0,376.0,2.0,128.0,782.0,3.0
15.0,1024.0,256.0,2048.0,15.0,240.0,0.0,240.0,240.0,8.0,4982447.0,88.0,110.0,22.0,29.0,383.0,2.0,-12.0,790.0,3.0
4.0,768.0,256.0,2048.0,4.0,240.0,0.0,240.0,240.0,8.0,4982937.0,150.0,167.0,17.0,29.0,367.0,2.0,128.0,785.0,3.0
20.0,1024.0,256.0,2048.0,20.0,240.0,0.0,240.0,240.0,8.0,4983025.0,867.0,888.0,21.0,29.0,387.0,2.0,-12.0,789.0,3.0
20.0,512.0,256.0,2048.0,20.0,240.0,0.0,240.0,240.0,7.0,4982950.0,5.0,10.0,5.0,3401.0,371.0,1.0,128.0,773.0,3.0
30.0,768.0,256.0,2048.0,30.0,240.0,0.0,240.0,240.0,8.0,4982481.0,949.0,963.0,14.0,29.0,390.0,2.0,128.0,782.0,3.0
16.0,768.0,256.0,2048.0,16.0,240.0,0.0,240.0,240.0,5.0,4982377.0,1018.0,1032.0,14.0,29.0,376.0,2.0,128.0,782.0,3.0
12.0,65535.0,256.0,2048.0,12.0,240.0,0.0,240.0,240.0,8.0,4982970.0,0.0,0.0,0.0,3400.0,256.0,1.0,256.0,768.0,3.0
29.0,768.0,256.0,2048.0,29.0,240.0,0.0,240.0,240.0,8.0,4982544.0,89.0,106.0,17.0,1454.0,392.0,2.0,128.0,785.0,3.0
9.0,768.0,256.0,2048.0,9.0,240.0,0.0,240.0,240.0,7.0,4982931.0,66.0,83.0,17.0,3401.0,372.0,2.0,128.0,785.0,3.0
27.0,257.0,256.0,2048.0,27.0,240.0,0.0,240.0,240.0,8.0,4982516.0,464.0,0.0,18.0,3400.0,391.0,2.0,128.0,786.0,2.0
22.0,768.0,256.0,2048.0,22.0,240.0,0.0,240.0,240.0,8.0,4983020.0,1145.0,1160.0,15.0,29.0,383.0,2.0,128.0,783.0,3.0
7.0,257.0,256.0,2048.0,7.0,240.0,0.0,240.0,240.0,5.0,4982304.0,1439.0,0.0,21.0,29.0,374.0,2.0,-12.0,789.0,2.0
15.0,65535.0,256.0,2048.0,15.0,240.0,0.0,240.0,240.0,8.0,4982545.0,0.0,0.0,0.0,1105.0,256.0,1.0,256.0,768.0,3.0
